concept:country:republic	country republic
concept:sportsteam:miami_hurricanes	sports team miami hurricanes
concept:stadiumoreventvenue:wallace_wade_stadium	stadium or event venue wallace wade stadium
concept:writer:clayton	writer clayton
concept:shoppingmall:affiliate	shopping mall affiliate
concept:plant:wild_flowers	plant wild flowers
concept:sportsteam:avs	sports team a vs
concept:city:orlando	city orlando
concept:city:belmont	city belmont
concept:plant:salt_cedar	plant salt cedar
concept:stadiumoreventvenue:doak_campbell_stadium	stadium or event venue doak campbell stadium
concept:stateorprovince:europeans	state or province europeans
concept:island:haven	island haven
concept:plant:bamboo	plant bamboo
concept:island:niue	island niue
concept:bodypart:cavity	body part cavity
concept:stadiumoreventvenue:bobby_dodd_stadium	stadium or event venue bobby dodd stadium
concept:sportsgame:yrs	sports game yrs
concept:bodypart:adrenals	body part adrenals
concept:university:brownsville	university brownsville
concept:city:toledo	city toledo
concept:river:theme	river theme
concept:coach:skip_prosser	coach skip prosser
concept:city:winchester	city winchester
concept:plant:rhododendrons	plant rhododendrons
concept:city:aspen	city aspen
concept:street:katy	street katy
concept:city:merced	city merced
concept:coach:cowher	coach cowher
concept:stateorprovince:sides	state or province sides
concept:city:ojai	city ojai
concept:restaurant:target	restaurant target
concept:plant:beautiful_moss	plant beautiful moss
concept:country:iran	country iran
concept:artery:glomerulus	artery gl omer ul us
concept:radiostation:beaumont	radio station beaumont
concept:bodypart:gland	body part gland
concept:landscapefeatures:camp	landscape features camp
concept:shoppingmall:boynton_beach	shopping mall boynton beach
concept:braintissue:adrenal_glands	brain tissue adrenal glands
concept:plant:cedar_trees	plant cedar trees
concept:geopoliticallocation:latin_america	geopolitical location latin america
concept:city:burlingame	city burlingame
concept:city:cerritos	city cer rito s
concept:braintissue:vertebral_column	brain tissue vertebral column
concept:country:saudis	country saudis
concept:stadiumoreventvenue:vanderbilt_stadium	stadium or event venue vanderbilt stadium
concept:city:cairo	city cairo
concept:visualizablescene:dehli	visual iz able scene dehli
concept:person:john__honey_fitz__fitzgerald	person john honey fitz fitzgerald
concept:stadiumoreventvenue:rose_garden	stadium or event venue rose garden
concept:city:portland	city portland
concept:city:side	city side
concept:color:yellows	color yellows
concept:city:tacoma	city tacoma
concept:person:sherman	person sherman
concept:artery:major_artery	artery major artery
concept:plant:carob	plant caro b
concept:transportation:search	transportation search
concept:aquarium:whole_world	aquarium whole world
concept:writer:harvard	writer harvard
concept:sportsequipment:nets	sports equipment nets
concept:university:kent_state	university kent state
concept:landscapefeatures:provinces	landscape features provinces
concept:plant:lime_trees	plant lime trees
concept:plant:baobab	plant baobab
concept:bodypart:meridians	body part meridians
concept:stadiumoreventvenue:romney_stadium	stadium or event venue romney stadium
concept:plant:oleander	plant oleander
concept:coach:ernie_kent	coach ernie kent
concept:coach:gary_barnett	coach gary barnett
concept:celebrity:washington_state_cougars	celebrity washington state cougars
concept:planet:reasons	planet reasons
concept:bodypart:inner_organs	body part inner organs
concept:plant:silver_birch	plant silver birch
concept:retailstore:consumers	retail store consumers
concept:room:style	room style
concept:bodypart:membrane	body part membrane
concept:website:concord	website concord
concept:country:cameroon	country cameroon
concept:artery:bifurcation	artery bifurcation
concept:dateliteral:n1846	date literal n 1846
concept:university:ball_state	university ball state
concept:city:rancho_cucamonga	city rancho cucamonga
concept:website:owner	website owner
concept:coach:red_sanders	coach red sanders
concept:stadiumoreventvenue:broadway	stadium or event venue broadway
concept:coach:danny_hope	coach danny hope
concept:plant:chestnut_trees	plant chestnut trees
concept:plant:wattle	plant wattle
concept:city:gilroy	city gil roy
concept:artery:capillary	artery capillary
concept:plant:birch_trees	plant birch trees
concept:city:carpinteria	city car pinter i a
concept:university:oregon_st	university oregon st
concept:politicsblog:citizen	politics blog citizen
concept:plant:lichens	plant lichens
concept:plant:white_fir	plant white fir
concept:hotel:dream	hotel dream
concept:museum:exhibits	museum exhibits
concept:transportation:fare	transportation fare
concept:city:beijing	city beijing
concept:transportation:data	transportation data
concept:company:look	company look
concept:city:duarte	city duarte
concept:coach:bill_tierney	coach bill tierney
concept:nerve:pituitary	nerve pituitary
concept:stateorprovince:utah	state or province utah
concept:plant:firs	plant firs
concept:country:monaco	country monaco
concept:magazine:discovery	magazine discovery
concept:aquarium:u__s_	aquarium u s
concept:landscapefeatures:full	landscape features full
concept:geopoliticallocation:factor	geopolitical location factor
concept:company:city_paper001	company city paper 001
concept:geopoliticallocation:wright_state	geopolitical location wright state
concept:coach:billy_gillespie	coach billy gillespie
concept:website:province	website province
concept:bodypart:face	body part face
concept:plant:lodgepole_pine	plant lodge pole pine
concept:mammal:recipient	mammal recipient
concept:city:howard	city howard
concept:stateorprovince:saskatchewan	state or province saskatchewan
concept:plant:arbutus	plant arbutus
concept:coach:darrell_royal	coach darrell royal
concept:magazine:essence	magazine essence
concept:braintissue:activity	brain tissue activity
concept:room:entertainment	room entertainment
concept:country:mauritius	country mauritius
concept:zoo:animals	zoo animals
concept:radiostation:san_antonio	radio station san antonio
concept:bodypart:condition	body part condition
concept:website:universal	website universal
concept:city:santee	city santee
concept:city:waterbury	city waterbury
concept:company:imf	company imf
concept:stadiumoreventvenue:bronco_stadium	stadium or event venue bronco stadium
concept:nut:black_walnut	nut black walnut
concept:perceptionaction:waterloo	perception action waterloo
concept:stadiumoreventvenue:lane_stadium	stadium or event venue lane stadium
concept:plant:plane	plant plane
concept:braintissue:teeth	brain tissue teeth
concept:stadiumoreventvenue:waldo_stadium	stadium or event venue waldo stadium
concept:plant:hawthorn	plant hawthorn
concept:transportation:action	transportation action
concept:stateorprovince:belize	state or province belize
concept:beach:resort	beach resort
concept:city:vienna	city vienna
concept:stadiumoreventvenue:kellyshorts_stadium	stadium or event venue kelly shorts stadium
concept:building:town	building town
concept:coach:south_carolina_gamecocks	coach south carolina gamecocks
concept:city:litchfield	city litchfield
concept:country:taiwan	country taiwan
concept:museum:catalyst	museum catalyst
concept:geopoliticallocation:parish	geopolitical location parish
concept:planet:heaven	planet heaven
concept:tool:lights	tool lights
concept:politicsblog:ninth_state	politics blog ninth state
concept:plant:olive_trees	plant olive trees
concept:year:n1865	year n 1865
concept:sportsequipment:goals	sports equipment goals
concept:coach:gary_pinkel	coach gary pink el
concept:hospital:hialeah	hospital hialeah
concept:geopoliticallocation:stanford	geopolitical location stanford
concept:stadiumoreventvenue:time_warner_cable_arena	stadium or event venue time warner cable arena
concept:plant:mahogany	plant mahogany
concept:planet:wonder	planet wonder
concept:city:tulare	city tul are
concept:city:torrance	city torrance
concept:stadiumoreventvenue:tiger_stadium	stadium or event venue tiger stadium
concept:stadiumoreventvenue:jordan_hare_stadium	stadium or event venue jordan hare stadium
concept:vein:pituitary_gland	vein pituitary gland
concept:city:palm_desert	city palm desert
concept:coach:kelvin_sampson	coach kelvin sampson
concept:plant:pear_cacti	plant pear cacti
concept:coach:rex_ryan	coach rex ryan
concept:city:atlanta	city atlanta
concept:company:clinton	company clinton
concept:clothing:white	clothing white
concept:geopoliticalorganization:sovereign_state	geopolitical organization sovereign state
concept:city:seat	city seat
concept:plant:hackberry	plant hack berry
concept:stadiumoreventvenue:camp_randall	stadium or event venue camp randall
concept:geopoliticalorganization:nepal	geopolitical organization nepal
concept:braintissue:enteric_nervous_system	brain tissue enteric nervous system
concept:country:cape_verde	country cape verde
concept:city:tasmania	city tasmania
concept:politicsblog:presence	politics blog presence
concept:coach:karl_dorrell	coach karl d orrell
concept:university:new_mexico_state	university new mexico state
concept:city:honolulu	city honolulu
concept:muscle:trigeminal_nerve	muscle tri gemina l nerve
concept:city:novato	city novato
concept:stateorprovince:md	state or province md
concept:coach:tim_floyd	coach tim floyd
concept:university:usc	university usc
concept:island:morro_bay	island morro bay
concept:university:north_carolina_state	university north carolina state
concept:stateorprovince:men	state or province men
concept:country:lebanon	country lebanon
concept:bodypart:muscle_groups	body part muscle groups
concept:room:centerpiece	room centerpiece
concept:country:republic_of_chad	country republic of chad
concept:perceptionaction:cedar_rapids	perception action cedar rapids
concept:artery:leg	artery leg
concept:country:bolivia	country bolivia
concept:city:stub	city stub
concept:website:cost	website cost
concept:stateorprovince:manufacturers	state or province manufacturers
concept:person:don_shula	person don s hula
concept:coach:tom_crean	coach tom crea n
concept:politicsblog:portfolio	politics blog portfolio
concept:country:former_ussr	country former ussr
concept:city:baghdad	city baghdad
concept:city:peoria	city peoria
concept:city:banning	city banning
concept:coach:sparano	coach spar a no
concept:city:claremont	city claremont
concept:plant:western_hemlock	plant western hemlock
concept:skyscraper:collection	skyscraper collection
concept:artery:surface	artery surface
concept:coach:joe_tiller	coach joe tiller
concept:street:park_plaza	street park plaza
concept:person:oscar_wyatt	person oscar wyatt
concept:bone:structures	bone structures
concept:university:western_washington	university western washington
concept:transportation:bit	transportation bit
concept:sportsequipment:net	sports equipment net
concept:city:turlock	city tur lock
concept:island:total	island total
concept:stadiumoreventvenue:air_canada_center	stadium or event venue air canada center
concept:coach:lou_holtz	coach lou holt z
concept:plant:hickories	plant hickories
concept:city:lake_forest	city lake forest
concept:stadiumoreventvenue:world_trade_center	stadium or event venue world trade center
concept:country:turkmenistan	country turkmenistan
concept:stadiumoreventvenue:university_stadium	stadium or event venue university stadium
concept:plant:lodgepole_pines	plant lodge pole pines
concept:bodypart:peripheral	body part peripheral
concept:bodypart:musculoskeletal	body part mus cul o skeletal
concept:city:san_anselmo	city san anselmo
concept:plant:pineapple	plant pineapple
concept:politicalparty:u_n_	political party u n
concept:city:fort_wayne	city fort wayne
concept:stateorprovince:average	state or province average
concept:website:the_massachusetts	website the massachusetts
concept:website:snap	website snap
concept:city:marina_del_rey	city marina del rey
concept:celebrity:davidson_wildcats	celebrity davidson wildcats
concept:stadiumoreventvenue:robertson_stadium	stadium or event venue robertson stadium
concept:stadiumoreventvenue:fedexforum	stadium or event venue fedex forum
concept:plant:cherries	plant cherries
concept:city:healdsburg	city he a lds burg
concept:landscapefeatures:project	landscape features project
concept:county:town	county town
concept:city:auburn	city auburn
concept:bodypart:fetus	body part fetus
concept:hospital:suny	hospital suny
concept:coach:washington_huskies	coach washington huskies
concept:bodypart:bowels	body part bowels
concept:city:perris	city per r is
concept:hotel:dates	hotel dates
concept:landscapefeatures:landscapes	landscape features landscapes
concept:plant:reeds	plant reeds
concept:plant:lime	plant lime
concept:plant:native_oaks	plant native oaks
concept:landscapefeatures:islands	landscape features islands
concept:plant:aspens	plant aspens
concept:city:guerneville	city guern evil le
concept:plant:manzanita	plant manzan it a
concept:coach:ron_zook	coach ron zoo k
concept:bodypart:axons	body part axons
concept:hotel:major_center	hotel major center
concept:stadiumoreventvenue:rynearson_stadium	stadium or event venue ry near son stadium
concept:county:glasgow	county glasgow
concept:stateorprovince:value	state or province value
concept:city:chowchilla	city chowchilla
concept:county:san_francisco_state	county san francisco state
concept:country:viet_nam	country viet nam
concept:city:seaside	city seaside
concept:country:nation	country nation
concept:stadiumoreventvenue:mountaineer_field	stadium or event venue mountaineer field
concept:director:summers	director summers
concept:country:baltic_states	country baltic states
concept:coach:bo_pelini	coach bo pelini
concept:building:studio	building studio
concept:perceptionaction:iowa_city	perception action iowa city
concept:bodypart:ovaries	body part ovaries
concept:bodypart:soft_tissues	body part soft tissues
concept:stadiumoreventvenue:hughes_stadium	stadium or event venue hughes stadium
concept:city:gurnee	city gur nee
concept:geopoliticallocation:central_america	geopolitical location central america
concept:room:expansion	room expansion
concept:bodypart:reproductive_system001	body part reproductive system 001
concept:visualizablescene:dana_point	visual iz able scene dana point
concept:county:new_mexico	county new mexico
concept:plant:lilac	plant lilac
concept:river:brazos	river brazos
concept:university:depaul	university depaul
concept:park:land	park land
concept:visualizablescene:lifestyle	visual iz able scene lifestyle
concept:hospital:new_york_university_school	hospital new york university school
concept:city:chino	city chino
concept:geopoliticalorganization:real_estate	geopolitical organization real estate
concept:plant:beech	plant beech
concept:plant:aspen	plant aspen
concept:bacteria:smooth_muscle_cells	bacteria smooth muscle cells
concept:stadiumoreventvenue:icon	stadium or event venue icon
concept:city:danville	city danville
concept:beach:austin_texas	beach austin texas
concept:plant:brush	plant brush
concept:museum:institute	museum institute
concept:stateorprovince:south_dakota	state or province south dakota
concept:city:wichita	city wichita
concept:country:niger	country niger
concept:hotel:capitol	hotel capitol
concept:plant:grapevines	plant grapevines
concept:stateorprovince:zauchensee	state or province za u chen see
concept:country:united_states_of_america	country united states of america
concept:geopoliticallocation:central_michigan	geopolitical location central michigan
concept:plant:maple	plant maple
concept:bodypart:inflammatory_response	body part inflammatory response
concept:beach:guam	beach guam
concept:country:mozambique	country mozambique
concept:stadiumoreventvenue:rutgers_stadium	stadium or event venue rutgers stadium
concept:musicalbum:odessa	music album odessa
concept:stateorprovince:new_south_wales	state or province new south wales
concept:geopoliticallocation:gulf_region	geopolitical location gulf region
concept:geopoliticalorganization:drama	geopolitical organization drama
concept:sportsteam:national_league_team	sports team national league team
concept:room:kids	room kids
concept:stadiumoreventvenue:ford_center	stadium or event venue ford center
concept:bodypart:organ_systems	body part organ systems
concept:nerve:peripheral_nerves	nerve peripheral nerves
concept:personcanada:utah_utes	person canada utah ute s
concept:stadiumoreventvenue:indianapolis_downtown	stadium or event venue indianapolis downtown
concept:planet:treat	planet treat
concept:plant:black_gum	plant black gum
concept:geopoliticallocation:silicon_valley	geopolitical location silicon valley
concept:geopoliticallocation:south_american	geopolitical location south american
concept:plant:coniferous_trees	plant coniferous trees
concept:transportation:train	transportation train
concept:city:weed	city weed
concept:city:madison	city madison
concept:stateorprovince:wisconsin	state or province wisconsin
concept:coach:rick_neuheisel	coach rick neu he is el
concept:plant:jack_pine	plant jack pine
concept:coach:art_briles	coach art b riles
concept:plant:mountainash	plant mountain ash
concept:artery:material	artery material
concept:city:gonzaga	city gonzaga
concept:braintissue:neurotransmitters	brain tissue neurotransmitters
concept:visualizablescene:blacksburg	visual iz able scene blacksburg
concept:city:mckinney	city mckinney
concept:country:samoa	country samoa
concept:magazine:self	magazine self
concept:plant:basswood	plant bass wood
concept:skiarea:north_east	ski area north east
concept:city:harrisonburg	city harrisonburg
concept:stadiumoreventvenue:amon_carter_stadium	stadium or event venue amon carter stadium
concept:vein:mesoderm	vein mesoderm
concept:geopoliticallocation:british_isles	geopolitical location british isles
concept:year:n1836	year n 1836
concept:city:okinawa	city okinawa
concept:muscle:white_matter	muscle white matter
concept:attraction:locations	attraction locations
concept:website:ten	website ten
concept:hotel:flag	hotel flag
concept:city:san_leandro	city san leandro
concept:plant:white_cedar	plant white cedar
concept:plant:almond	plant almond
concept:visualizablescene:thing	visual iz able scene thing
concept:athlete:butch_davis	athlete butch davis
concept:university:depauw	university de pau w
concept:country:el_salvador	country el salvador
concept:plant:native_grasses	plant native grasses
concept:stateorprovince:decision	state or province decision
concept:coach:michigan_state_spartans	coach michigan state spartans
concept:stadiumoreventvenue:davis_stadium	stadium or event venue davis stadium
concept:city:nebraska	city nebraska
concept:planet:crisis	planet crisis
concept:plant:palms	plant palms
concept:city:mariposa	city mariposa
concept:geopoliticallocation:kuwait	geopolitical location kuwait
concept:city:florence	city florence
concept:stadiumoreventvenue:faurot_field	stadium or event venue faur ot field
concept:coach:john_calipari	coach john ca lipari
concept:artery:subarachnoid_space	artery sub ara ch noid space
concept:mountainrange:plants	mountain range plants
concept:sportsteam:oilers	sports team oilers
concept:date:n1976	date n 1976
concept:stadiumoreventvenue:carrier_dome	stadium or event venue carrier dome
concept:geopoliticallocation:sherman	geopolitical location sherman
concept:landscapefeatures:study	landscape features study
concept:website:beauty	website beauty
concept:county:san_diego	county san diego
concept:monument:photographer	monument photographer
concept:museum:highlights	museum highlights
concept:room:breakfast	room breakfast
concept:stadiumoreventvenue:autzen_stadium	stadium or event venue aut zen stadium
concept:city:smyrna	city smyrna
concept:city:plano	city plano
concept:bodypart:epidermis	body part epidermis
concept:stadiumoreventvenue:malone_stadium	stadium or event venue malone stadium
concept:landscapefeatures:point	landscape features point
concept:nut:horse_chestnut	nut horse chestnut
concept:braintissue:body_systems	brain tissue body systems
concept:plant:white_birch	plant white birch
concept:plant:oleanders	plant oleanders
concept:bridge:ship	bridge ship
concept:bodypart:thymus	body part thymus
concept:televisionstation:washingtondc	television station washington dc
concept:bodypart:brain_cells	body part brain cells
concept:city:hampshire	city hampshire
concept:city:gardena	city gardena
concept:artery:arterioles	artery arterioles
concept:geopoliticallocation:holder	geopolitical location holder
concept:restaurant:menu	restaurant menu
concept:bodypart:respiratory_tract	body part respiratory tract
concept:plant:grape_vines	plant grape vines
concept:zoo:outdoors	zoo outdoors
concept:city:capitola	city capitol a
concept:artery:sinusoids	artery sinus oid s
concept:country:slovak_republic	country slovak republic
concept:coach:tom_osborne	coach tom osborne
concept:stateorprovince:al_anbar	state or province al anbar
concept:coach:terry_hoeppner	coach terry ho epp ner
concept:visualizablething:calgary	visual iz able thing calgary
concept:bodypart:gut	body part gut
concept:city:victorville	city victorville
concept:attraction:mardi_gras	attraction mardi gras
concept:plant:buttonwood	plant button wood
concept:city:richland	city richland
concept:geopoliticallocation:central_eastern_europe	geopolitical location central eastern europe
concept:city:fort_walton_beach	city fort walton beach
concept:city:idyllwild	city idyll wild
concept:vein:visual_system	vein visual system
concept:artery:matter	artery matter
concept:plant:bamboos	plant bamboos
concept:stateorprovince:miles	state or province miles
concept:sportsteam:n2004_red_sox	sports team n 2004 red sox
concept:country:zaire	country zaire
concept:braintissue:intestine	brain tissue intestine
concept:plant:fir_trees	plant fir trees
concept:geopoliticallocation:mid	geopolitical location mid
concept:visualizablescene:corner	visual iz able scene corner
concept:stadiumoreventvenue:papa_john_s_cardinal_stadium	stadium or event venue papa john s cardinal stadium
concept:island:allen	island allen
concept:visualizablescene:harbor	visual iz able scene harbor
concept:county:high_school	county high school
concept:city:redmond	city redmond
concept:plant:pepper	plant pepper
concept:plant:banana_trees	plant banana trees
concept:country:return_trip	country return trip
concept:planet:size	planet size
concept:transportation:two_cities	transportation two cities
concept:plant:seed	plant seed
concept:monument:nebraska_cornhuskers	monument nebraska cornhuskers
concept:nerve:spinal_nerve_roots	nerve spinal nerve roots
concept:landscapefeatures:coast	landscape features coast
concept:braintissue:plexus	brain tissue plexus
concept:sportsteam:d_backs	sports team d backs
concept:stateorprovince:mazowieckie	state or province mazowiecki e
concept:city:antioch	city antioch
concept:city:individuals	city individuals
concept:plant:rhododendron	plant rhododendron
concept:muscle:villi	muscle villi
concept:coach:jim_boeheim	coach jim boe heim
concept:plant:cacti	plant cacti
concept:city:muncie	city muncie
concept:city:santa_barbara_de_nexe	city santa barbara de n exe
concept:coach:ray_meyer	coach ray meyer
concept:nut:pecan	nut pecan
concept:stateorprovince:stories	state or province stories
concept:sportsteam:wayne_state	sports team wayne state
concept:crimeorcharge:fort_pierce	crime or charge fort pierce
concept:publication:richmond	publication richmond
concept:museum:cultural_center	museum cultural center
concept:plant:casuarina	plant casuarina
concept:city:woodland_hills	city woodland hills
concept:stadiumoreventvenue:glass_bowl	stadium or event venue glass bowl
concept:stadiumoreventvenue:michigan_stadium	stadium or event venue michigan stadium
concept:stateorprovince:shops	state or province shops
concept:coach:ralph_friedgen	coach ralph fried gen
concept:plant:mango_trees	plant mango trees
concept:plant:magnolia	plant magnolia
concept:planet:regions	planet regions
concept:city:columbus	city columbus
concept:city:roanoke	city roanoke
concept:coach:steve_kragthorpe	coach steve k rag thorpe
concept:geopoliticallocation:sub_saharan_africa	geopolitical location sub saharan africa
concept:emotion:peace	emotion peace
concept:bodypart:extremities	body part extremities
concept:plant:white_pines	plant white pines
concept:university:illinois_state	university illinois state
concept:city:hollister	city hollister
concept:plant:walnut	plant walnut
concept:coach:ben_howland	coach ben howland
concept:plant:mimosa	plant mimosa
concept:website:homes	website homes
concept:building:photographs	building photographs
concept:newspaper:tennessee	newspaper tennessee
concept:county:tracy	county tracy
concept:stadiumoreventvenue:epicenter	stadium or event venue epicenter
concept:stateorprovince:north_moravia	state or province north moravia
concept:city:west_hollywood	city west hollywood
concept:coach:todd_bowles	coach todd bowles
concept:stadiumoreventvenue:nippert_stadium	stadium or event venue nipper t stadium
concept:hotel:township	hotel township
concept:city:panama_canal	city panama canal
concept:city:hit	city hit
concept:park:fan	park fan
concept:plant:palmettos	plant palmettos
concept:plant:dogwood	plant dogwood
concept:stateorprovince:manitoba	state or province manitoba
concept:governmentorganization:document	government organization document
concept:politicianus:mike_krzyzewski	politician us mike krzyzewski
concept:port:american_ports	port american ports
concept:stateorprovince:baja_california	state or province baja california
concept:plant:wild_plum	plant wild plum
concept:city:la_mesa	city la mesa
concept:geopoliticallocation:asian	geopolitical location asian
concept:jobposition:adjunct_professor	job position adjunct professor
concept:plant:maples	plant maples
concept:stadiumoreventvenue:los_angeles_coliseum	stadium or event venue los angeles coliseum
concept:school:johns_hopkins	school johns hopkins
concept:sportsteamposition:back	sports team position back
concept:city:manteca	city man tec a
concept:sportsteam:ncaa_midwest_regionals	sports team ncaa midwest regional s
concept:skiarea:brand	ski area brand
concept:city:wrightwood	city wrightwood
concept:trainstation:university_at_buffalo_stadium	train station university at buffalo stadium
concept:bodypart:adrenal_gland	body part adrenal gland
concept:transportation:options	transportation options
concept:mountainrange:alps	mountain range alps
concept:plant:tree_ferns	plant tree ferns
concept:city:central	city central
concept:coach:gene_keady	coach gene kea dy
concept:plant:large_cottonwood	plant large cottonwood
concept:stadiumoreventvenue:yale_bowl	stadium or event venue yale bowl
concept:plant:white_oak	plant white oak
concept:stadiumoreventvenue:reser_stadium	stadium or event venue re ser stadium
concept:landscapefeatures:landscape	landscape features landscape
concept:city:college	city college
concept:aquarium:new_england	aquarium new england
concept:plant:apple_trees	plant apple trees
concept:coach:oklahoma_sooners	coach oklahoma sooners
concept:celebrity:depaul_blue_demons	celebrity depaul blue demons
concept:artery:tubes	artery tubes
concept:bodypart:tube	body part tube
concept:city:hawthorne	city hawthorne
concept:person:willingham	person will ingham
concept:geopoliticallocation:support	geopolitical location support
concept:stateorprovince:tobago	state or province tobago
concept:braintissue:cerebral_cortex	brain tissue cerebral cortex
concept:sportsteam:night_the_red_sox	sports team night the red sox
concept:coach:texas_tech_red_raiders	coach texas tech red raiders
concept:coach:tom_izzo	coach tom izz o
concept:plant:eucalyptus	plant eucalyptus
concept:city:ramona	city ramona
concept:city:xavier	city xavier
concept:bacteria:endothelial_cells	bacteria endo the li al cells
concept:city:redwood_city	city redwood city
concept:coach:dantonio	coach d antonio
concept:country:the_united_states	country the united states
concept:stadiumoreventvenue:dowdy_ficklen_stadium	stadium or event venue dowdy fickle n stadium
concept:plant:alders	plant alders
concept:coach:virginia_tech	coach virginia tech
concept:stateorprovince:new_york_state	state or province new york state
concept:plant:walnuts	plant walnuts
concept:blog:repository	blog repository
concept:newspaper:alabama	newspaper alabama
concept:country:trinidad_and_tobago	country trinidad and tobago
concept:politicsblog:perspective	politics blog perspective
concept:city:redding	city redding
concept:sportsteam:time_the_yankees	sports team time the yankees
concept:nerve:nerve_root	nerve nerve root
concept:plant:pine_forest	plant pine forest
concept:coach:richt	coach rich t
concept:plant:cottonwoods	plant cottonwoods
concept:trainstation:stronghold	train station stronghold
concept:braintissue:pineal_gland	brain tissue pineal gland
concept:company:symbol	company symbol
concept:plant:sweet_gum	plant sweet gum
concept:sportsgame:consecutive_years	sports game consecutive years
concept:plant:juniper_trees	plant juniper trees
concept:plant:honeysuckle	plant honeysuckle
concept:plant:beech_trees	plant beech trees
concept:plant:cactus	plant cactus
concept:stateorprovince:slaskie	state or province s lask ie
concept:sportsequipment:area	sports equipment area
concept:stadiumoreventvenue:ryan_field	stadium or event venue ryan field
concept:beach:vermont	beach vermont
concept:city:palo_alto	city palo alto
concept:plant:black_oak	plant black oak
concept:plant:bay	plant bay
concept:planet:core	planet core
concept:stadiumoreventvenue:kibbie_dome	stadium or event venue ki b bie dome
concept:coach:dino_gaudio	coach dino g audio
concept:shoppingmall:rialto	shopping mall rialto
concept:country:father	country father
concept:plant:red_maples	plant red maples
concept:person:nate_mclouth	person nate mc louth
concept:city:lakeport	city lake port
concept:mountain:big_bear_lake	mountain big bear lake
concept:bodypart:emotions	body part emotions
concept:coach:matt_doherty	coach matt doherty
concept:musicfestival:virginia_cavaliers	music festival virginia cavaliers
concept:sportsteamposition:guard	sports team position guard
concept:building:stop	building stop
concept:plant:green_pines	plant green pines
concept:museum:marvel	museum marvel
concept:university:pepperdine	university pepperdine
concept:coach:everett_withers	coach everett withers
concept:country:western_africa	country western africa
concept:sportsteam:austin_peay_state_governors	sports team austin peay state governors
concept:stateorprovince:skierniewice	state or province ski ernie w ice
concept:plant:cherry	plant cherry
concept:stateorprovince:colorada	state or province colorada
concept:city:fit	city fit
concept:hotel:job	hotel job
concept:coach:tomlin	coach tomlin
concept:city:memphis	city memphis
concept:plant:black_pine	plant black pine
concept:transportation:tomorrow	transportation tomorrow
concept:sportsteam:kentucky_wildcats_basketball	sports team kentucky wildcats basketball
concept:plant:fern	plant fern
concept:sportsteam:bob_knight	sports team bob knight
concept:stateorprovince:act	state or province act
concept:braintissue:hindbrain	brain tissue hindbrain
concept:plant:date_palms	plant date palms
concept:trainstation:george_mason	train station george mason
concept:island:polynesia	island polynesia
concept:plant:heather	plant heather
concept:stadiumoreventvenue:fouts_field	stadium or event venue f out s field
concept:stadiumoreventvenue:neyland_stadium	stadium or event venue neyland stadium
concept:bone:tumor	bone tumor
concept:politician:adrian_fenty	politician adrian fenty
concept:city:clearlake	city clear lake
concept:plant:yellow_birch	plant yellow birch
concept:landscapefeatures:farmland	landscape features farmland
concept:artery:blood_supply	artery blood supply
concept:food:rose	food rose
concept:trail:candidate	trail candidate
concept:geopoliticallocation:el_paso	geopolitical location el paso
concept:plant:myrtles	plant myrtles
concept:room:tops	room tops
concept:country:southern_africa	country southern africa
concept:plant:yellowwood	plant yellow wood
concept:continent:antarctica	continent antarctica
concept:museum:requirements	museum requirements
concept:visualizablescene:major_city	visual iz able scene major city
concept:artery:patients	artery patients
concept:county:music_college	county music college
concept:city:murrieta	city murr iet a
concept:plant:red_maple	plant red maple
concept:coach:thad_matta	coach t had matta
concept:coach:bill_lynch	coach bill lynch
concept:coach:mark_dantonio	coach mark d antonio
concept:bodypart:excretory_system	body part excretory system
concept:color:colors	color colors
concept:plant:balsam	plant balsam
concept:coach:mike_price	coach mike price
concept:politicsblog:radio_station	politics blog radio station
concept:monument:dusk	monument dusk
concept:stadiumoreventvenue:alumni_stadium	stadium or event venue alumni stadium
concept:stadiumoreventvenue:bank_of_america_pavilion	stadium or event venue bank of america pavilion
concept:stadiumoreventvenue:beaver_stadium	stadium or event venue beaver stadium
concept:plant:mature_pines	plant mature pines
concept:plant:crab_apple	plant crab apple
concept:river:potomac	river potomac
concept:year:n1862	year n 1862
concept:plant:banana_palms	plant banana palms
concept:nerve:dural_sac	nerve dural sac
concept:hotel:today	hotel today
concept:highway:talk	highway talk
concept:plant:crepe_myrtles	plant crepe myrtles
concept:country:prussia	country prussia
concept:geopoliticalorganization:north_vietnam	geopolitical organization north vietnam
concept:bodypart:muscle_fibers	body part muscle fibers
concept:city:forestville	city forest ville
concept:plant:cork_oaks	plant cork oaks
concept:artery:carotid_artery	artery carotid artery
concept:plant:sagebrush	plant sagebrush
concept:braintissue:forebrain	brain tissue forebrain
concept:museum:wonders	museum wonders
concept:coach:gene_chizik	coach gene chi zi k
concept:landscapefeatures:variety	landscape features variety
concept:bodypart:vital_organs	body part vital organs
concept:coach:stanford_cardinal	coach stanford cardinal
concept:stateorprovince:ua	state or province u a
concept:bone:bone_structure	bone bone structure
concept:stadiumoreventvenue:wachovia_center	stadium or event venue wachovia center
concept:plant:apricot	plant apricot
concept:geopoliticallocation:midwestern	geopolitical location midwestern
concept:city:santa_paula	city santa paula
concept:stateorprovince:jihocesky_kraj	state or province ji hoc e sky kraj
